orders_created_at_est_year,orders_created_at_est_day,orders_total_order_count
2019,01-21,8966
2019,04-01,12192
2019,09-28,18307
2019,09-09,11221
2019,04-14,12651
2019,05-31,20499
2019,08-24,16184
2019,03-12,12273
2019,01-18,15461
2019,05-11,15965
2019,07-20,16465
2019,10-04,22752
2019,09-25,15361
2019,07-15,11118
2019,09-07,16729
2019,08-13,12629
2019,01-29,10870
2019,04-10,13285
2019,05-20,10583
2019,03-15,18290
2019,11-08,20465
2019,10-27,15602
2019,01-05,13892
2019,09-23,11818
2019,09-26,16832
2019,11-10,14590
2019,07-24,14279
2019,01-26,13866
2019,07-02,14422
2019,12-10,15668
2019,05-21,12411
2019,09-02,13149
2019,11-29,13235
2019,07-28,12865
2019,03-16,15531
2019,11-16,20793
2019,10-13,14510
2019,12-12,18502
2019,12-08,15936
2019,02-27,15161
2019,08-23,19450
2019,12-20,23640
2019,02-09,15677
2019,03-08,18806
2019,10-03,19825
2019,09-15,13624
2019,03-26,12539
2019,06-16,12087
2019,10-02,17442
2019,05-16,14202
2019,10-31,19461
2019,06-24,11274
2019,03-01,21754
2019,12-21,20591
2019,08-04,13215
2019,10-24,17897
2019,04-11,13519
2019,02-14,16145
2019,01-07,8436
2019,01-01,12069
